new,previous,datum,stratum,parameter,probability,point_difference,lower,upper,primary_classification
A_CN,A0_CN,30,stress,gamma_gw,0.95,-0.008137415978768492,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_Ar,0.05,0.003015378871122444,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_Ar,0.5,0.04190280318559658,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_Ar,0.9,0.028263401693849777,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_Ar,0.95,0.017502603968865826,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_EFAC,0.05,-0.012131186315632245,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_EFAC,0.5,-0.049137582141183606,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_EFAC,0.9,-0.0833554625530592,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,30,stress,log10_EFAC,0.95,-0.09379599914167236,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,u,0.05,0.0031502980960077046,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,u,0.5,0.005777702967779241,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,u,0.9,-0.0002340812767863687,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,u,0.95,-0.0005114623471975666,-1.0,1.0,inconclusive
A_CN,A0_CN,44,representative,log10_Agw,0.05,0.004923235350775539,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Agw,0.5,0.07549226413677618,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Agw,0.9,0.12499520606891779,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Agw,0.95,0.11372977541801021,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,gamma_gw,0.05,-0.006399716560220883,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,gamma_gw,0.5,-0.07146715961433187,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,gamma_gw,0.9,-0.040815185577778745,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,gamma_gw,0.95,-0.022558235315616737,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Ar,0.05,-0.023584765914571648,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Ar,0.5,0.0298403611729523,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Ar,0.9,0.010062241761659374,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_Ar,0.95,0.0061334853530936595,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_EFAC,0.05,0.013839912930822762,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_EFAC,0.5,-0.005676186485364276,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_EFAC,0.9,-0.029391095321781857,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,44,representative,log10_EFAC,0.95,-0.03512491985126465,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,u,0.05,0.00478553195178006,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,u,0.5,0.01897567087138885,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,u,0.9,0.005467142894367005,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,u,0.95,0.0037606962305473113,-1.0,1.0,inconclusive
A_CN,A0_CN,48,representative,log10_Agw,0.05,-0.0028378400984713278,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Agw,0.5,-0.022060895642768585,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Agw,0.9,-0.031317001829955116,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Agw,0.95,-0.032569277373302064,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,gamma_gw,0.05,-0.003509708724990769,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,gamma_gw,0.5,-0.03941969608187473,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,gamma_gw,0.9,-0.04798430719157731,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,gamma_gw,0.95,-0.039914404543016424,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Ar,0.05,-0.03533523394723369,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Ar,0.5,-0.20843336812993446,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Ar,0.9,-0.11047820001220998,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_Ar,0.95,-0.09543513809232107,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_EFAC,0.05,-0.005177150909854135,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_EFAC,0.5,-0.03622169629950982,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_EFAC,0.9,-0.06737180788896174,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,48,representative,log10_EFAC,0.95,-0.07632567247723053,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,u,0.05,0.0031934117478059354,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,u,0.5,0.0315548191152723,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,u,0.9,0.015768648523389217,-1.0,1.0,descriptive_secondary
A_CN,A0_CN,102,representative,u,0.95,0.007889311897326778,-1.0,1.0,inconclusive
A_CN,A0_CN,102,representative,log10_Agw,0.05,-0.04789586569262546,-1.0,1.0,descriptive_secondary
