contrast_index,new_model,old_model,group,u_bin,gamma_bin,parameter,quantity,probability,units,n,mean,median,std_between_datasets,empirical_p05,empirical_p25,empirical_p75,empirical_p95,minimum,maximum,both_parameter_PIT_functions_resolved,both_LOW_cut_CDF_precision,all_bin_datasets_retained
0,A_CN,A0_CN,all500,-1,-1,u,quantile,0.05,fraction_prior_width,500,0.003738486132351344,0.0010799393269264844,0.0214388580836335,-0.014541972716663017,-0.0037884558425761578,0.005393399095879348,0.034383362333212375,-0.07134641917229256,0.20656110021081414,487,500,True
0,A_CN,A0_CN,all500,-1,-1,u,quantile,0.5,fraction_prior_width,500,0.00630984352445626,0.0032121366206189494,0.061857516084020105,-0.08932592255987316,-0.018730464909217856,0.031584322662941214,0.10547080315614768,-0.3215562191217072,0.21024400751661004,487,497,True
0,A_CN,A0_CN,all500,-1,-1,u,quantile,0.9,fraction_prior_width,500,0.0024178249067401615,0.0009817290669352219,0.04271628501142763,-0.04687081334189059,-0.006467675859164579,0.012939350666363647,0.061280335561796365,-0.30021052819979355,0.1791113609974686,487,500,True
0,A_CN,A0_CN,all500,-1,-1,u,quantile,0.95,fraction_prior_width,500,0.0012962663978084094,0.0005919115158981025,0.03034297415338968,-0.02525603754155127,-0.003265329882939899,0.006921916236850428,0.03758506921645516,-0.24740197041814516,0.11332125339595411,487,500,True
0,A_CN,A0_CN,all500,-1,-1,u,central90_width,,fraction_prior_width,500,-0.002442219734542932,-7.490924531011744e-05,0.02993109256455532,-0.029986158572790116,-0.0025806369970040877,0.0025332876614374,0.02953771208101453,-0.23492118457851807,0.1107829606091073,487,500,True
0,A_CN,A0_CN,all500,-1,-1,log10_Agw,quantile,0.05,fraction_prior_width,500,-0.0185465129698369,-0.0004329674492977737,0.12254032065625875,-0.29641481104207595,-0.020438990927965223,0.021052150015592908,0.12494640589776308,-0.5743209992686733,0.5114330411135269,484,495,True
0,A_CN,A0_CN,all500,-1,-1,log10_Agw,quantile,0.5,fraction_prior_width,500,0.007315893162383416,-0.001013170796959506,0.09801373385264392,-0.12634171730990054,-0.041616199810679814,0.042183869395697335,0.19975871443929535,-0.3948076073081398,0.48860484686316585,484,492,True
0,A_CN,A0_CN,all500,-1,-1,log10_Agw,quantile,0.9,fraction_prior_width,500,0.004127523313087041,-0.0029214933924716358,0.07359996935847399,-0.0969877337899729,-0.038488012449298364,0.033150194182922435,0.1485808956577846,-0.1944476129818451,0.3478145423997993,484,499,True
0,A_CN,A0_CN,all500,-1,-1,log10_Agw,quantile,0.95,fraction_prior_width,500,0.00219041690711171,-0.003814247498132417,0.06785327852817989,-0.08758279737904918,-0.036608006775599805,0.029120518699560727,0.13439967463530544,-0.1860079054655438,0.350384627941727,484,499,True
0,A_CN,A0_CN,all500,-1,-1,log10_Agw,central90_width,,fraction_prior_width,500,0.020736929876948616,-0.005764757596396525,0.11694642610452526,-0.10204976802235725,-0.0399524449710191,0.047265377962606964,0.28282946137710374,-0.42391672858471285,0.5164976800877912,484,494,True
0,A_CN,A0_CN,all500,-1,-1,gamma_gw,quantile,0.05,fraction_prior_width,500,0.001284024050839167,-0.0011447288462939718,0.06463481800648972,-0.08144263468280924,-0.011780637829387054,0.006387263527978075,0.0982785907933873,-0.30184202232852214,0.41094193491526304,486,499,True
0,A_CN,A0_CN,all500,-1,-1,gamma_gw,quantile,0.5,fraction_prior_width,500,-0.0151747725078929,-0.007294653766262482,0.09249052825228037,-0.17986224014086058,-0.053854449475608066,0.029906339209544927,0.11917231662424944,-0.4349857173954861,0.4377278253595438,486,498,True
0,A_CN,A0_CN,all500,-1,-1,gamma_gw,quantile,0.9,fraction_prior_width,500,-0.020952673176102252,-0.004300122639403492,0.0773502252824185,-0.19795411461198775,-0.0345216207021502,0.013622761112710963,0.06249187515733859,-0.5830916851018393,0.2845290578513363,486,499,True
0,A_CN,A0_CN,all500,-1,-1,gamma_gw,quantile,0.95,fraction_prior_width,500,-0.0188498604026921,-0.002482045168406999,0.06779519991733683,-0.15294438375782743,-0.02079746158420423,0.007479808861875742,0.03829908924007531,-0.5320079851664654,0.2989741970189511,486,499,True
0,A_CN,A0_CN,all500,-1,-1,gamma_gw,central90_width,,fraction_prior_width,500,-0.020133884453531266,-0.001983812284394648,0.0791780903276112,-0.1685748338930085,-0.02496629368908579,0.007828464480174852,0.06650197177002504,-0.4744561704668431,0.2913216340813537,486,498,True
0,A_CN,A0_CN,all500,-1,-1,log10_Ar,quantile,0.05,fraction_prior_width,500,-0.011965573673154506,-0.0005894334765459731,0.13623987685917674,-0.18389927397096695,-0.008283369735248847,0.006312998836435017,0.08044515928992832,-0.8668208186093663,0.6140254518079507,486,500,True
0,A_CN,A0_CN,all500,-1,-1,log10_Ar,quantile,0.5,fraction_prior_width,500,-0.000988423710329455,-0.0031568466640196913,0.15565650198835224,-0.28522125126419023,-0.05005910943368165,0.050102148909770786,0.2605990521710655,-0.4921897627539408,0.5653772119528162,486,494,True
0,A_CN,A0_CN,all500,-1,-1,log10_Ar,quantile,0.9,fraction_prior_width,500,0.004491320040591215,-0.0037207490135727217,0.07375332633231034,-0.11269294834025391,-0.03903203804028671,0.03842941260443322,0.14739018586422117,-0.21918851905159176,0.3309267576409487,486,496,True
